n_assets,repeat_id,strike,avg_stress_fraction,hedger,runtime_seconds,initial_price,mean_pnl,std_pnl,q05_pnl,q01_pnl
2,0,100.0,0.39,constant,0.18301816697930917,8.84527979954599,-0.23492253740933391,2.1567390250238816,-3.9815249064328353,-6.067947509229764
2,0,100.0,0.39,regime,0.6610553750069812,9.09188645440353,0.028050492055484186,2.094533312143703,-4.23983708106052,-5.6331789471791645
2,1,100.0,0.3525,constant,0.2085621670121327,8.737958541121085,-0.2830200557928385,1.9237747177274935,-3.246633512490127,-5.0345763687205345
2,1,100.0,0.3525,regime,0.6287961670313962,8.871608029088664,-0.06720252792694258,1.7978075477036395,-2.77873393495699,-4.260940921152342
2,2,100.0,0.3675,constant,0.2555466669728048,8.946601347699389,0.0436710950874296,1.9088018930619164,-3.055948467961372,-3.872860455191251
2,2,100.0,0.3675,regime,0.6662138330284506,8.979699278751191,0.056957516633389244,1.8759457172220309,-3.1213112930532687,-3.744318142189792
2,3,100.0,0.3858333333333333,constant,0.2598727499716915,8.741493841197,-0.3468538625696516,2.095756005226224,-4.011557491146621,-6.482920589328176
2,3,100.0,0.3858333333333333,regime,0.6043070000014268,9.014853625186062,-0.09020322672640493,2.1016292483103496,-3.777083304895889,-5.6747965203431745
2,4,100.0,0.37333333333333335,constant,0.1369140829774551,8.769672279770903,-0.07802014080162822,1.9227661644538054,-3.3651828354603075,-6.592281071875924
2,4,100.0,0.37333333333333335,regime,0.6184542920091189,9.214279891294149,0.37320082254216536,1.9115282893169618,-2.9065202198601305,-5.2243421335628115
3,0,99.99999999999999,0.36833333333333335,constant,0.19883225002558902,7.933094385666808,-0.661707468278848,2.046819886945437,-4.199037333672605,-5.1955821685760375
3,0,99.99999999999999,0.36833333333333335,regime,0.689657666021958,8.45342226047433,-0.06942748300472935,1.9845932394803094,-3.0330945050660056,-4.3713396098710025
3,1,99.99999999999999,0.3858333333333333,constant,0.19458762498106807,8.29709196923057,-0.4405232941819184,1.9843809032616195,-3.609805355560835,-4.6847048065298
3,1,99.99999999999999,0.3858333333333333,regime,0.710950166976545,8.433291707192833,-0.3023322011263284,2.0344984024608785,-3.6541756725930443,-4.581932454545039
3,2,99.99999999999999,0.3525,constant,0.24909341702004895,8.09221899436946,-0.2463781767791026,1.7185553970442284,-2.9390409470957652,-4.077658919452367
3,2,99.99999999999999,0.3525,regime,0.6974386670044623,8.295594046351539,-0.042395791085373086,1.755041019469603,-3.0506781858951255,-4.36300563050113
3,3,99.99999999999999,0.375,constant,0.23439412500010803,8.08277936515229,-0.5972591444645665,1.8971248539759997,-3.7601211918224813,-5.171264442470189
3,3,99.99999999999999,0.375,regime,0.7149272499955259,8.589862910486586,0.012867949664888058,1.9625596963717347,-2.8336897979901123,-4.986716695051005
3,4,99.99999999999999,0.36083333333333334,constant,0.29713016597088426,7.990743238808342,-0.4558295429855617,1.67506811305463,-3.16878276479354,-4.384362332260704
3,4,99.99999999999999,0.36083333333333334,regime,0.7482149580027908,8.70292413175629,0.21494082265804326,1.7017580996079136,-2.072662231167945,-3.2094710848665677
4,0,100.0,0.36666666666666664,constant,0.34582774998852983,7.986215089051729,-0.4260931617131607,2.131634212476401,-3.7162775559656978,-5.752014686668489
4,0,100.0,0.36666666666666664,regime,0.8319491249858402,8.282252506133208,-0.23318162148415844,2.0883892615915483,-3.735296505547756,-5.244229946285508
4,1,100.0,0.3333333333333333,constant,0.2710174579988234,7.804501769344302,-0.8442588898191711,2.2053038198223454,-5.366574685723399,-7.878941252204575
4,1,100.0,0.3333333333333333,regime,0.7872418750193901,8.230928392475416,-0.4250425900050105,2.0362585301484533,-4.369768527658193,-6.734383591467
4,2,100.0,0.3591666666666667,constant,0.27069550001760945,7.7248247926647915,-0.37077614661810687,1.9749836946651707,-3.8115194253347644,-5.373764111667276
4,2,100.0,0.3591666666666667,regime,0.7950867080362514,8.276615922907204,0.2254724481439049,1.9883729209837298,-3.075023010122674,-3.840463740815369
4,3,100.0,0.355,constant,0.24895008298335597,7.9230240957333695,-0.6061148353239109,1.711175773755793,-3.446950879630093,-5.493188306872351
4,3,100.0,0.355,regime,0.8400906670140103,8.196289065250408,-0.3324836017671855,1.673681769278869,-3.1146606468878053,-3.921314261946067
4,4,100.0,0.36916666666666664,constant,0.26052495796466246,7.736108271025261,-1.0434105910043643,2.387875459273533,-5.294806504960815,-7.730932700415911
4,4,100.0,0.36916666666666664,regime,0.823991582961753,8.355831214798075,-0.2998951788599826,2.195122874930252,-4.641516547603582,-6.1479845655629255
5,0,100.0,0.36583333333333334,constant,0.35418216697871685,7.577537860417797,-0.7929157657032387,2.0433491593115582,-4.538993954475135,-6.081200401081742
5,0,100.0,0.36583333333333334,regime,0.9245927080046386,8.007988344782847,-0.34751155047719445,1.986997136544141,-4.134413165123074,-5.10464509857497
5,1,100.0,0.3675,constant,0.3453107920358889,7.536382516354587,-0.9431046255621928,1.7093572583276238,-3.7801188560093317,-5.653658040986555
