n_assets,hedger,avg_initial_price,avg_mean_pnl,avg_std_pnl,std_of_std_pnl,avg_q05_pnl,avg_q01_pnl,std_of_q01_pnl,avg_runtime_seconds,avg_stress_fraction
2,constant,8.808201161866872,-0.1798291002972045,2.001567561098664,0.1159919199590228,-3.5321694426982524,-5.61011719886913,1.1494942872350244,0.20878276678267865,0.37383333333333335
2,regime,9.03446545574472,0.060160615315538256,1.956288822939337,0.1358401750672439,-3.3646971667653593,-4.907515332885457,0.8641142137637376,0.6357653334154747,0.37383333333333335
3,constant,8.079185590645494,-0.48033952533799945,1.864389830856383,0.16268109868464598,-3.535357518589045,-4.70271453385782,0.4885756128413821,0.23480751659953966,0.3685
3,regime,8.495019011252316,-0.037269340578699905,1.8876900914780879,0.14892518248168587,-2.9288600785424466,-4.302493094966949,0.6613144136355424,0.7122377416002564,0.3685
4,constant,7.8349348035638915,-0.6581307248957428,2.0821945919986486,0.25504415826657906,-4.327225810322954,-6.445768211565721,1.249352626978031,0.2794031497905962,0.35666666666666663
4,regime,8.268383420312862,-0.2130261087944864,1.9963650713865704,0.19605674690734837,-3.787253047564002,-5.177675221215374,1.2976756247670753,0.8156719916034489,0.35666666666666663
5,constant,7.598807556004472,-0.781091137698849,1.9442162165736492,0.17690964876955848,-4.302594717201383,-6.370975433157675,1.2560241258121303,0.3309204583987594,0.35633333333333334
5,regime,8.164588773744487,-0.23536278343083805,1.9259251744776733,0.16422714412305744,-3.5265801295263515,-5.506543634244734,1.0390776589653958,0.9032680915901438,0.35633333333333334
6,constant,7.4822688635966745,-0.6453953071204355,1.9775791944738033,0.16409769057539192,-3.5910121468820115,-6.980081095267043,1.7948761499562633,0.37074663339881225,0.35683333333333334
6,regime,8.0582964800877,-0.045569440450506885,1.9474677950603798,0.12187724469911897,-3.079771426249588,-5.756522494734746,1.690504377089525,0.9900344914174639,0.35683333333333334
8,constant,7.295571678822699,-0.6439495628914027,2.041491150304071,0.16277666604808777,-4.176429943829043,-7.1462566046965605,1.2038688215378432,0.4604586663888767,0.36516666666666664
8,regime,7.93770366455181,0.009209133911451802,2.020299032025311,0.2092375848609819,-3.2806894683017425,-5.267583202200616,1.212346732347405,1.1547776999999768,0.36516666666666664
10,constant,7.23719489048153,-0.6734931392911341,2.1840752149171165,0.4325301121193918,-4.743811390471416,-7.46333082367965,2.5120032121986116,1.2373469334095717,0.36133333333333334
10,regime,7.907241004467802,0.0002387738585908794,2.1227063703133826,0.3787898566308017,-3.4440679971897494,-5.585014762331157,1.7747662865801779,4.166836100001819,0.36133333333333334
