true_world,hedger,rho_constant,rho_calm,rho_stress,p01_daily,p10_daily,avg_stress_fraction,initial_price,mean_pnl,std_pnl,q05_pnl,q01_pnl,repeat_id
regime,constant,0.35,0.2,0.35,0.03,0.12,0.16944444444444445,8.2384735999081,0.35239853500591567,1.6309304945826906,-1.7917686258940024,-6.199502673546492,0
regime,regime,0.35,0.2,0.35,0.03,0.12,0.16944444444444445,7.722068914223666,-0.15805831392232014,1.640013636376956,-2.1948740550670487,-7.076507103329368,0
regime,constant,0.35,0.2,0.35,0.03,0.12,0.18680555555555556,8.209991504402401,0.3473500437422135,1.4609334213267984,-1.7058391216242814,-3.060264572336284,1
regime,regime,0.35,0.2,0.35,0.03,0.12,0.18680555555555556,7.765836069268595,-0.1255981664861425,1.4568867300598183,-2.457140591605891,-3.442491607440687,1
regime,constant,0.35,0.2,0.35,0.03,0.12,0.18333333333333332,8.177557632513302,0.5460627703194418,1.4699626373229417,-1.608398755814526,-2.990488360335561,2
regime,regime,0.35,0.2,0.35,0.03,0.12,0.18333333333333332,7.918309785547376,0.26942517674763444,1.478104147891443,-1.9367242446686008,-4.02315240010099,2
regime,constant,0.35,0.2,0.35,0.03,0.12,0.17291666666666666,8.031613963433855,0.37674843237923006,1.4174558941526083,-1.5363436650034379,-2.8855397843739117,3
regime,regime,0.35,0.2,0.35,0.03,0.12,0.17291666666666666,7.742610572234088,0.05352456267528029,1.3917610214638585,-1.8848004303125185,-3.800290804925877,3
regime,constant,0.35,0.2,0.55,0.03,0.12,0.17847222222222223,8.082176717802653,0.30565268267944123,1.5698832238397655,-2.3385885973089677,-3.532482011525037,0
regime,regime,0.35,0.2,0.55,0.03,0.12,0.17847222222222223,8.090281380781976,0.325561594538074,1.523600293765009,-2.0828762412994677,-3.5613831225657764,0
regime,constant,0.35,0.2,0.55,0.03,0.12,0.19166666666666668,8.293976287330565,0.504971665591854,1.613518740470223,-1.7623004710606363,-3.7283319583440533,1
regime,regime,0.35,0.2,0.55,0.03,0.12,0.19166666666666668,7.877546431595316,0.0774432188705427,1.6276055034586576,-2.381935493615982,-4.127864630188818,1
regime,constant,0.35,0.2,0.55,0.03,0.12,0.175,8.162374978591977,0.416582448652665,1.5216819185601964,-2.1880862106214356,-2.9968424921485255,2
regime,regime,0.35,0.2,0.55,0.03,0.12,0.175,8.029908240778836,0.23011966272499726,1.5610801574640205,-2.786632262952279,-3.3742280818036385,2
regime,constant,0.35,0.2,0.55,0.03,0.12,0.16527777777777777,8.195331291155892,0.23336346356302312,1.46085716577804,-1.9433434198828414,-3.2786557265227625,3
regime,regime,0.35,0.2,0.55,0.03,0.12,0.16527777777777777,7.951207506796613,-0.0029164706975133587,1.4528466435820953,-2.1837603875389417,-3.74377472712223,3
regime,constant,0.35,0.2,0.75,0.03,0.12,0.15763888888888888,8.385194945778071,0.2809617425649757,1.6358994912376066,-2.0130380731436377,-4.494494950799061,0
regime,regime,0.35,0.2,0.75,0.03,0.12,0.15763888888888888,7.998728607918395,-0.10072745718482572,1.6263715404856904,-2.651339086084666,-4.852672205751976,0
regime,constant,0.35,0.2,0.75,0.03,0.12,0.19722222222222222,8.300343003786958,0.351569546129959,1.6908630013872707,-2.8898502803342065,-4.69806293367846,1
regime,regime,0.35,0.2,0.75,0.03,0.12,0.19722222222222222,8.061248962733094,0.1838877541762577,1.6696772574680803,-3.105146950631918,-4.210528249816166,1
regime,constant,0.35,0.2,0.75,0.03,0.12,0.19305555555555556,8.129713444768196,0.09138317501276637,1.638068908902216,-2.120760108383307,-3.5059124208857053,2
regime,regime,0.35,0.2,0.75,0.03,0.12,0.19305555555555556,8.192725571571133,0.1412183126723597,1.6370276531943748,-2.448155311733341,-3.346135812443618,2
regime,constant,0.35,0.2,0.75,0.03,0.12,0.18263888888888888,8.177952222918698,0.140609393678761,1.5539040512225775,-1.9493892707087994,-3.2020380188705015,3
regime,regime,0.35,0.2,0.75,0.03,0.12,0.18263888888888888,8.115334900058071,0.02804459434900674,1.5552380246301611,-2.2279646625194305,-3.042615513459169,3
regime,constant,0.35,0.2,0.9,0.03,0.12,0.18333333333333332,8.298447392206162,0.2991456441058897,1.9690988620036713,-3.1261185795698805,-7.117946628286658,0
regime,regime,0.35,0.2,0.9,0.03,0.12,0.18333333333333332,8.340988725769622,0.3097473369829792,1.9973402284719508,-3.0772995130220124,-6.357235637107819,0
regime,constant,0.35,0.2,0.9,0.03,0.12,0.18472222222222223,8.3075074065369,0.3410867427410809,1.7039235685258012,-2.614715855952259,-3.295678913420663,1
regime,regime,0.35,0.2,0.9,0.03,0.12,0.18472222222222223,8.075236004406385,0.11113466803024613,1.6566500515826712,-2.8935070928100735,-3.19956910999416,1
regime,constant,0.35,0.2,0.9,0.03,0.12,0.16597222222222222,8.472399455770175,0.3340599698342853,1.3705831438889924,-1.8124384283744446,-2.566995869108566,2
regime,regime,0.35,0.2,0.9,0.03,0.12,0.16597222222222222,8.197547046357885,0.03082335062061703,1.4429937140140663,-2.367340364450977,-3.455713430905793,2
regime,constant,0.35,0.2,0.9,0.03,0.12,0.1951388888888889,8.18730554156223,0.31107292408091947,1.6088031381201442,-2.246989903429653,-3.2030191898795297,3
regime,regime,0.35,0.2,0.9,0.03,0.12,0.1951388888888889,8.191981633859557,0.28935616590923174,1.6132458462283834,-2.3098379365044694,-2.5677783810093113,3
regime,constant,0.35,0.2,0.95,0.03,0.12,0.20416666666666666,8.389316976865027,0.2532717494147096,1.5368769973100451,-1.9380322633561429,-4.533317745307597,0
regime,regime,0.35,0.2,0.95,0.03,0.12,0.20416666666666666,7.960340132883128,-0.19251126579425842,1.5075658719244796,-2.3874522485110505,-4.549125236323517,0
regime,constant,0.35,0.2,0.95,0.03,0.12,0.16319444444444445,8.4096435200993,0.23473265963803963,2.0512942998504324,-3.209826331651126,-5.471624106904697,1
regime,regime,0.35,0.2,0.95,0.03,0.12,0.16319444444444445,8.124918586006823,-0.022703397836632534,2.0152887784231046,-3.5055767914871305,-5.817235333557216,1
regime,constant,0.35,0.2,0.95,0.03,0.12,0.1840277777777778,8.098738556106882,0.07688027353378651,1.9294591589487444,-3.6998623680462672,-5.10892835006276,2
regime,regime,0.35,0.2,0.95,0.03,0.12,0.1840277777777778,8.245113033113086,0.19069400612008344,1.9510263510830848,-3.349885796241985,-4.898344233589017,2
regime,constant,0.35,0.2,0.95,0.03,0.12,0.17847222222222223,8.293302591220746,0.20168700836563885,1.8890424999260365,-2.3491807003269143,-6.171168414503455,3
regime,regime,0.35,0.2,0.95,0.03,0.12,0.17847222222222223,8.24038355870384,0.11411614660977057,1.9148971416476412,-2.4550463522617894,-6.091255883454518,3
regime,constant,0.35,0.2,0.98,0.03,0.12,0.18194444444444444,8.255298080279742,0.29375941686158263,1.7069540654029478,-2.2438239698970888,-5.114681554028055,0
regime,regime,0.35,0.2,0.98,0.03,0.12,0.18194444444444444,8.216384204871051,0.27363019800360805,1.6002776375375445,-2.1337950753119825,-4.49940203482104,0
regime,constant,0.35,0.2,0.98,0.03,0.12,0.1798611111111111,8.097504733215368,-0.04069640947839383,1.8228378780397516,-3.146048452483042,-5.204440769117413,1
regime,regime,0.35,0.2,0.98,0.03,0.12,0.1798611111111111,8.038575635551815,-0.04107858796691723,1.761657247745683,-3.0014025307325434,-5.286679640684709,1
regime,constant,0.35,0.2,0.98,0.03,0.12,0.18472222222222223,8.111078462360679,0.005197648462550368,1.7575853484028634,-2.955099810301003,-4.426610242504138,2
regime,regime,0.35,0.2,0.98,0.03,0.12,0.18472222222222223,8.155676197365244,0.007331238859455998,1.7110045035375747,-3.106269946679526,-3.8521406166593004,2
regime,constant,0.35,0.2,0.98,0.03,0.12,0.1638888888888889,8.24273803239353,0.08442259358757843,1.724103854402767,-2.4820291564977053,-4.777101227537944,3
regime,regime,0.35,0.2,0.98,0.03,0.12,0.1638888888888889,8.358878647855137,0.18656056424583814,1.6958086056247383,-2.557226574641754,-4.206045875285863,3
