hedge_steps,hedge_label,days_per_hedge_step,lambda_daily,expected_stress_duration_days,avg_std_pnl_constant,avg_std_pnl_regime,avg_q01_pnl_constant,avg_q01_pnl_regime,avg_mean_pnl_constant,avg_mean_pnl_regime,std_gap_constant_minus_regime,q01_gap_regime_minus_constant,mean_gap_regime_minus_constant
2,Semiannual,126,0.04,41.666666666666664,4.124073024703025,4.114909610074907,-13.818307117716756,-12.951509344280566,-0.11119634209003144,-0.18838148334395374,0.00916341462811765,0.8667977734361898,-0.0771851412539223
2,Semiannual,126,0.08,20.833333333333332,4.382719494607477,4.281131501846237,-14.63416084261904,-14.237661928348189,-0.12561234097185847,-0.16078820628722745,0.10158799276123975,0.39649891427085215,-0.03517586531536898
2,Semiannual,126,0.15,11.11111111111111,3.783484696377668,3.789185019644817,-11.085815363704464,-10.273898156012459,-0.13979479595054783,-0.18906065700802463,-0.005700323267149088,0.8119172076920051,-0.049265861057476795
4,Quarterly,63,0.04,41.666666666666664,3.080720348372935,3.067685521162098,-8.955065123765005,-8.305424172612575,-0.42789838543066794,-0.09741538383098312,0.01303482721083693,0.6496409511524295,0.3304830015996848
4,Quarterly,63,0.08,20.833333333333332,3.3729797697872463,3.3426327165245433,-9.406630208704371,-8.632388678427235,-0.6617822857895009,-0.3461459304599995,0.03034705326270304,0.7742415302771359,0.31563635532950146
4,Quarterly,63,0.15,11.11111111111111,2.9814629708606386,2.9524710236225906,-8.306750112681163,-7.914415670351274,-0.12740853736185148,0.17681925556523082,0.028991947238047988,0.3923344423298891,0.3042277929270823
6,Bi-monthly,42,0.04,41.666666666666664,2.4521988951087885,2.4945172414977708,-6.984715108509849,-6.252262484701906,-0.0744428515971289,0.2840392738933286,-0.04231834638898224,0.7324526238079425,0.35848212549045755
6,Bi-monthly,42,0.08,20.833333333333332,2.7277080688706747,2.6911950614628015,-8.206130278534479,-6.7366041722639025,-0.4197591190448859,0.13670391306032467,0.03651300740787322,1.4695261062705764,0.5564630321052105
6,Bi-monthly,42,0.15,11.11111111111111,2.468753550702454,2.4495281881853743,-7.339744329450769,-6.293886060422118,-0.08365314960008886,0.34976436653783166,0.019225362517079514,1.0458582690286518,0.4334175161379205
12,Monthly,21,0.04,41.666666666666664,2.0721483495322404,1.960972741760645,-6.783351641194048,-5.385378736938084,-0.5354015898426129,-0.07582580264893289,0.1111756077715953,1.3979729042559637,0.45957578719368
12,Monthly,21,0.08,20.833333333333332,2.0839892821046226,2.0368728080369394,-6.587704246597031,-5.563260268115751,-0.5168338428968343,-0.049759720234880594,0.04711647406768327,1.0244439784812807,0.4670741226619537
12,Monthly,21,0.15,11.11111111111111,1.7949448814152038,1.758148377400804,-5.540220015315629,-4.8075403132165695,-0.340684674987457,0.10720352503424065,0.03679650401439982,0.7326797020990599,0.44788820002169766
