hedge_steps,hedge_label,days_per_hedge_step,lambda_daily,p01_daily,p10_daily,expected_stress_duration_days,repeat_id,avg_stress_fraction,hedger,initial_price,mean_pnl,std_pnl,q05_pnl,q01_pnl
12,Monthly,21,0.15,0.06,0.09,11.11111111111111,0,0.3611111111111111,constant,8.127923200962712,-0.36538394852497075,1.7823274116734025,-2.9110098495407284,-5.877851462397621
12,Monthly,21,0.15,0.06,0.09,11.11111111111111,0,0.3611111111111111,regime,8.648887461641289,0.14568159442153322,1.6957439672979593,-2.7339244712613024,-5.04312187119456
12,Monthly,21,0.15,0.06,0.09,11.11111111111111,1,0.35694444444444445,constant,8.323141464886273,-0.2497509549002216,1.7916536541848689,-3.2056729207988326,-5.129987898797691
12,Monthly,21,0.15,0.06,0.09,11.11111111111111,1,0.35694444444444445,regime,8.763873869738337,0.2578777651102128,1.8021262364750037,-2.720517557845153,-4.632792050328268
12,Monthly,21,0.15,0.06,0.09,11.11111111111111,2,0.3701388888888889,constant,8.354005562661559,-0.4069191215371788,1.8108535783873396,-3.6207744336299377,-5.6128206847515765
12,Monthly,21,0.15,0.06,0.09,11.11111111111111,2,0.3701388888888889,regime,8.658948012179302,-0.08194878442902412,1.776574928429449,-3.2068439124465713,-4.7467070181268785
12,Monthly,21,0.08,0.032,0.048,20.833333333333332,0,0.35625,constant,8.272278192722899,-0.427221133325742,2.2450989735332736,-4.076290141704478,-7.690765128266614
12,Monthly,21,0.08,0.032,0.048,20.833333333333332,0,0.35625,regime,8.452292929346996,-0.20643845725294752,2.0737909073288185,-3.856533610981606,-6.116950008111265
12,Monthly,21,0.08,0.032,0.048,20.833333333333332,1,0.3451388888888889,constant,8.296729464893296,-0.47313469410482095,1.8941069695282313,-3.6902286484946885,-5.760456623852256
12,Monthly,21,0.08,0.032,0.048,20.833333333333332,1,0.3451388888888889,regime,8.751055327633447,-0.038417381308212366,1.9317848769755481,-3.15855316578658,-5.040033688322216
12,Monthly,21,0.08,0.032,0.048,20.833333333333332,2,0.36180555555555555,constant,8.010636804856613,-0.6501457012599399,2.1127619032523626,-4.207166508171046,-6.311890987672223
12,Monthly,21,0.08,0.032,0.048,20.833333333333332,2,0.36180555555555555,regime,8.79749651509491,0.09557667785651809,2.105042639806452,-4.104147700011114,-5.532797107913768
12,Monthly,21,0.04,0.016,0.024,41.666666666666664,0,0.3548611111111111,constant,8.32379032697787,-0.3102725260268368,1.9515524416585281,-3.355969040402957,-7.243670865205191
12,Monthly,21,0.04,0.016,0.024,41.666666666666664,0,0.3548611111111111,regime,8.705623873319777,0.17873824840791827,1.8895669387363236,-2.963613456829224,-4.943042003045229
12,Monthly,21,0.04,0.016,0.024,41.666666666666664,1,0.33611111111111114,constant,8.243693387103006,-0.655649999490328,1.9840791028148677,-4.536742363949926,-6.235670691025723
12,Monthly,21,0.04,0.016,0.024,41.666666666666664,1,0.33611111111111114,regime,8.671977001798414,-0.22457137125188129,1.8722813671503848,-3.7032869516808575,-5.71788108758163
12,Monthly,21,0.04,0.016,0.024,41.666666666666664,2,0.3486111111111111,constant,8.117721728067144,-0.6402822440106737,2.2808135041233246,-4.161882961833826,-6.870713367351231
12,Monthly,21,0.04,0.016,0.024,41.666666666666664,2,0.3486111111111111,regime,8.520342173304273,-0.18164428510283565,2.1210699193952274,-3.6222363031898333,-5.495213120187393
6,Bi-monthly,42,0.15,0.06,0.09,11.11111111111111,0,0.33194444444444443,constant,8.375094299014254,-0.12649459578337988,2.71872337613062,-4.8729113856538575,-7.838827115579248
6,Bi-monthly,42,0.15,0.06,0.09,11.11111111111111,0,0.33194444444444443,regime,8.571749579414279,0.11613138548392392,2.656750853716898,-4.144324139388561,-7.34661256183457
6,Bi-monthly,42,0.15,0.06,0.09,11.11111111111111,1,0.3347222222222222,constant,8.428788300122882,0.07071895457573323,2.586331521990497,-3.7891638046500606,-8.017975356850798
6,Bi-monthly,42,0.15,0.06,0.09,11.11111111111111,1,0.3347222222222222,regime,8.780996826028195,0.40148928771199227,2.5816845122500798,-3.759098159176436,-6.571138217895225
6,Bi-monthly,42,0.15,0.06,0.09,11.11111111111111,2,0.33055555555555555,constant,8.132535275649154,-0.19518380759261994,2.1012057539862448,-4.451947791375899,-6.16243051592226
6,Bi-monthly,42,0.15,0.06,0.09,11.11111111111111,2,0.33055555555555555,regime,8.830142864607462,0.5316724264175788,2.1101491985891454,-3.1273177996634463,-4.963907401536558
6,Bi-monthly,42,0.08,0.032,0.048,20.833333333333332,0,0.31666666666666665,constant,7.992280854481917,-0.7661458025737529,2.856104234764163,-5.251415441433453,-9.488329816741881
6,Bi-monthly,42,0.08,0.032,0.048,20.833333333333332,0,0.31666666666666665,regime,8.739307589950048,0.07782819513190749,2.8081291555921437,-4.188515205019404,-7.704859985133135
6,Bi-monthly,42,0.08,0.032,0.048,20.833333333333332,1,0.31666666666666665,constant,8.164662832758264,-0.32700517144095886,2.603479077300425,-4.819183901323433,-8.45217862617066
6,Bi-monthly,42,0.08,0.032,0.048,20.833333333333332,1,0.31666666666666665,regime,8.533792963787356,-0.023319880660121008,2.6130713051195245,-4.465815497504099,-6.705619498497239
6,Bi-monthly,42,0.08,0.032,0.048,20.833333333333332,2,0.30833333333333335,constant,8.245601903470067,-0.1661263831199459,2.723540894547437,-4.482296242891741,-6.677882392690893
6,Bi-monthly,42,0.08,0.032,0.048,20.833333333333332,2,0.30833333333333335,regime,8.720982919334238,0.35560342470918754,2.652384723676736,-3.3695827638751847,-5.799333033161335
6,Bi-monthly,42,0.04,0.016,0.024,41.666666666666664,0,0.2972222222222222,constant,8.303215647927242,0.08127641720071695,2.30689587738376,-3.6235686220763244,-7.748062630786945
6,Bi-monthly,42,0.04,0.016,0.024,41.666666666666664,0,0.2972222222222222,regime,8.673362482272937,0.4461472092316091,2.384748717430176,-3.815125875799379,-6.964676109118763
6,Bi-monthly,42,0.04,0.016,0.024,41.666666666666664,1,0.3,constant,8.249671127777814,-0.4847971641067669,2.778775411907478,-5.448208721943499,-8.832609960923119
6,Bi-monthly,42,0.04,0.016,0.024,41.666666666666664,1,0.3,regime,8.613719032350117,-0.07737913163779714,2.73608703141408,-5.008848862155835,-7.416830829100324
6,Bi-monthly,42,0.04,0.016,0.024,41.666666666666664,2,0.2986111111111111,constant,8.26685533246652,0.18019219211466322,2.2709253960351274,-2.819883456003388,-4.373472733819481
6,Bi-monthly,42,0.04,0.016,0.024,41.666666666666664,2,0.2986111111111111,regime,8.592150784916575,0.48334974408617387,2.3627159756490563,-2.9456213500030217,-4.375280515886632
4,Quarterly,63,0.15,0.06,0.09,11.11111111111111,0,0.29583333333333334,constant,8.261310973502512,-0.3151034480270774,3.0206666540798555,-5.42955913593424,-8.601517476936436
4,Quarterly,63,0.15,0.06,0.09,11.11111111111111,0,0.29583333333333334,regime,8.346231561352983,-0.17306980626525245,2.9955632665231016,-4.844137300447502,-8.58124106970442
4,Quarterly,63,0.15,0.06,0.09,11.11111111111111,1,0.31875,constant,8.318074566062316,-0.3891747670235344,2.9285646364335127,-5.460921015164041,-8.31880092689434
4,Quarterly,63,0.15,0.06,0.09,11.11111111111111,1,0.31875,regime,8.639344563855403,0.01789498201964381,2.8458915629062136,-4.54489413647207,-8.110833911609408
4,Quarterly,63,0.15,0.06,0.09,11.11111111111111,2,0.30416666666666664,constant,8.174398793025748,0.32205260296505733,2.9951576220685476,-4.620610858513454,-7.99993193421271
4,Quarterly,63,0.15,0.06,0.09,11.11111111111111,2,0.30416666666666664,regime,8.516859467069162,0.6856325909413011,3.0159582414384563,-4.038696989497108,-7.051172029739992
4,Quarterly,63,0.08,0.032,0.048,20.833333333333332,0,0.3,constant,8.273912730908112,-0.4681769331848959,2.880132364586748,-5.035212490366374,-6.220833018216648
4,Quarterly,63,0.08,0.032,0.048,20.833333333333332,0,0.3,regime,8.510929148067493,-0.218611046278727,2.855971624758487,-4.633623718417441,-6.040316900214338
4,Quarterly,63,0.08,0.032,0.048,20.833333333333332,1,0.35208333333333336,constant,8.269899338768981,-0.6713765202121539,3.597735223300883,-7.177641838480278,-11.948743358254688
4,Quarterly,63,0.08,0.032,0.048,20.833333333333332,1,0.35208333333333336,regime,8.59966218969524,-0.25353040272538224,3.4969536561597296,-5.698970692093977,-10.600255840316223
4,Quarterly,63,0.08,0.032,0.048,20.833333333333332,2,0.3375,constant,8.249631384416038,-0.8457934039714528,3.6410717214741077,-8.030557550823216,-10.050314249641778
4,Quarterly,63,0.08,0.032,0.048,20.833333333333332,2,0.3375,regime,8.548257258887917,-0.5662963423758893,3.674972868655414,-7.388726588937452,-9.256593294751145
4,Quarterly,63,0.04,0.016,0.024,41.666666666666664,0,0.31875,constant,8.110151348241397,-0.4977525135281019,3.183301354896058,-4.803180977202608,-9.734790586115754
4,Quarterly,63,0.04,0.016,0.024,41.666666666666664,0,0.31875,regime,8.681634788847905,0.08213512502476643,3.1296962678465334,-4.54782994849609,-8.246598443912717
4,Quarterly,63,0.04,0.016,0.024,41.666666666666664,1,0.30625,constant,8.220431082594708,-0.6286163385879383,3.3691421856283843,-7.32599384086608,-9.163169683912972
4,Quarterly,63,0.04,0.016,0.024,41.666666666666664,1,0.30625,regime,8.587104952406275,-0.24593533684437824,3.2718531721393243,-5.901611304516455,-8.775615874259795
4,Quarterly,63,0.04,0.016,0.024,41.666666666666664,2,0.29791666666666666,constant,8.258589217057489,-0.15732630417596358,2.689717504594362,-4.398636139506731,-7.967235101266288
4,Quarterly,63,0.04,0.016,0.024,41.666666666666664,2,0.29791666666666666,regime,8.327028262320365,-0.12844593967333756,2.8015071235004365,-4.896367810102318,-7.8940581996652135
2,Semiannual,126,0.15,0.06,0.09,11.11111111111111,0,0.1875,constant,8.249976724656339,-0.6018572792454527,3.787093429085759,-7.731193562318066,-9.706388130935503
2,Semiannual,126,0.15,0.06,0.09,11.11111111111111,0,0.1875,regime,8.228855452133356,-0.6133665210525029,3.7915055799594946,-7.723588020691721,-9.818325923940371
2,Semiannual,126,0.15,0.06,0.09,11.11111111111111,1,0.19166666666666668,constant,8.340912229461445,0.03677636851917477,4.1159902403930655,-7.45352485991505,-13.37694851015136
2,Semiannual,126,0.15,0.06,0.09,11.11111111111111,1,0.19166666666666668,regime,8.365587929537963,0.04362560923869677,4.078331988349453,-6.613799971370997,-12.224571096815417
2,Semiannual,126,0.15,0.06,0.09,11.11111111111111,2,0.21666666666666667,constant,8.344191353913999,0.14569652287463447,3.447370419654179,-5.849842416548411,-10.174109450026535
2,Semiannual,126,0.15,0.06,0.09,11.11111111111111,2,0.21666666666666667,regime,8.227054869440748,0.0025589407897322817,3.497717490625503,-6.49942009946453,-8.77879744728159
2,Semiannual,126,0.08,0.032,0.048,20.833333333333332,0,0.21666666666666667,constant,8.311193047565157,0.32950535214297444,4.151636386119206,-6.631168276516847,-11.0297857241712
2,Semiannual,126,0.08,0.032,0.048,20.833333333333332,0,0.21666666666666667,regime,8.24057742078538,0.25912826301098907,4.12211604793475,-6.005239675831427,-10.555386208042524
2,Semiannual,126,0.08,0.032,0.048,20.833333333333332,1,0.22083333333333333,constant,8.264624713556634,-0.7166014933273318,4.69458998936485,-7.14263847917195,-18.80967060319744
2,Semiannual,126,0.08,0.032,0.048,20.833333333333332,1,0.22083333333333333,regime,8.131305784063859,-0.7562600102311536,4.48118831626794,-7.261779540784127,-17.80089204234596
2,Semiannual,126,0.08,0.032,0.048,20.833333333333332,2,0.18333333333333332,constant,8.269447516340735,0.010259118268781927,4.301932108338374,-7.046062837940233,-14.063026200488489
2,Semiannual,126,0.08,0.032,0.048,20.833333333333332,2,0.18333333333333332,regime,8.28500660402039,0.014767128358482217,4.240090141336021,-6.914185192356021,-14.356707534656085
2,Semiannual,126,0.04,0.016,0.024,41.666666666666664,0,0.17916666666666667,constant,8.289897270033931,-0.004706343771838828,4.035732216451999,-7.704324426181949,-12.554174977189914
2,Semiannual,126,0.04,0.016,0.024,41.666666666666664,0,0.17916666666666667,regime,8.261794576689299,-0.09603735804153528,4.089741647273974,-8.051842472375625,-12.200143112236212
2,Semiannual,126,0.04,0.016,0.024,41.666666666666664,1,0.17916666666666667,constant,8.06647418812704,-0.20808770116849867,4.67177302774258,-7.268665052686237,-17.18543382829585
2,Semiannual,126,0.04,0.016,0.024,41.666666666666664,1,0.17916666666666667,regime,7.952325980040752,-0.2939906067698271,4.586368566485517,-7.616601841600822,-15.312024123500123
2,Semiannual,126,0.04,0.016,0.024,41.666666666666664,2,0.22083333333333333,constant,8.259815874072425,-0.12079498132975684,3.6647138299144952,-5.2548588429449365,-11.7153125476645
2,Semiannual,126,0.04,0.016,0.024,41.666666666666664,2,0.22083333333333333,regime,8.27039493396342,-0.17511648522049886,3.6686186164652295,-5.93860629900536,-11.342360797105362
