hedge_steps,hedge_label,days_per_hedge_step,lambda_daily,expected_stress_duration_days,hedger,avg_initial_price,avg_std_pnl,std_of_std_pnl,avg_q05_pnl,avg_q01_pnl,std_of_q01_pnl,avg_mean_pnl,avg_stress_fraction
2,Semiannual,126,0.04,41.666666666666664,constant,8.205395777411132,4.124073024703025,0.5093084829299132,-6.742616107271041,-13.818307117716756,2.946027708243545,-0.11119634209003144,0.19305555555555554
2,Semiannual,126,0.04,41.666666666666664,regime,8.16150516356449,4.114909610074907,0.45939232955527465,-7.20235020432727,-12.951509344280566,2.088772400771151,-0.18838148334395374,0.19305555555555554
2,Semiannual,126,0.08,20.833333333333332,constant,8.281755092487508,4.382719494607477,0.28034729382411033,-6.939956531209677,-14.63416084261904,3.9212623308453214,-0.12561234097185847,0.20694444444444446
2,Semiannual,126,0.08,20.833333333333332,regime,8.21896326962321,4.281131501846237,0.18302054099440024,-6.727068136323858,-14.237661928348189,3.6242195837196722,-0.16078820628722745,0.20694444444444446
2,Semiannual,126,0.15,11.11111111111111,constant,8.311693436010595,3.783484696377668,0.3343245180734493,-7.011520279593842,-11.085815363704464,1.997913694117891,-0.13979479595054783,0.1986111111111111
2,Semiannual,126,0.15,11.11111111111111,regime,8.273832750370689,3.789185019644817,0.29031420477120873,-6.945602697175748,-10.273898156012459,1.7674836788303803,-0.18906065700802463,0.1986111111111111
4,Quarterly,63,0.04,41.666666666666664,constant,8.196390549297865,3.080720348372935,0.3511361865060598,-5.509270319191806,-8.955065123765005,0.9019665897200081,-0.42789838543066794,0.30763888888888885
4,Quarterly,63,0.04,41.666666666666664,regime,8.531922667858181,3.067685521162098,0.2412267623955199,-5.115269687704955,-8.305424172612575,0.44371312035700916,-0.09741538383098312,0.30763888888888885
4,Quarterly,63,0.08,20.833333333333332,constant,8.264481151364377,3.3729797697872463,0.4273680341674228,-6.747803959889956,-9.406630208704371,2.9177021908167404,-0.6617822857895009,0.3298611111111111
4,Quarterly,63,0.08,20.833333333333332,regime,8.552949532216884,3.3426327165245433,0.4307574418203283,-5.90710699981629,-8.632388678427235,2.34317825541388,-0.3461459304599995,0.3298611111111111
4,Quarterly,63,0.15,11.11111111111111,constant,8.251261444196858,2.9814629708606386,0.04755368563435983,-5.170363669870579,-8.306750112681163,0.30097376612580423,-0.12740853736185148,0.30624999999999997
4,Quarterly,63,0.15,11.11111111111111,regime,8.500811864092517,2.9524710236225906,0.0928621281007213,-4.4759094754722275,-7.914415670351274,0.7837173667136781,0.17681925556523082,0.30624999999999997
6,Bi-monthly,42,0.04,41.666666666666664,constant,8.273247369390525,2.4521988951087885,0.2833948391826969,-3.9638869333410702,-6.984715108509849,2.325510864812357,-0.0744428515971289,0.2986111111111111
6,Bi-monthly,42,0.04,41.666666666666664,regime,8.62641076651321,2.4945172414977708,0.20949542471795365,-3.9231986959860787,-6.252262484701906,1.6411602469422808,0.2840392738933286,0.2986111111111111
6,Bi-monthly,42,0.08,20.833333333333332,constant,8.134181863570083,2.7277080688706747,0.12636412288412727,-4.850965195216209,-8.206130278534479,1.421287628479746,-0.4197591190448859,0.3138888888888889
6,Bi-monthly,42,0.08,20.833333333333332,regime,8.66469449102388,2.6911950614628015,0.10315800016019638,-4.00797115546623,-6.7366041722639025,0.9531412690042618,0.13670391306032467,0.3138888888888889
6,Bi-monthly,42,0.15,11.11111111111111,constant,8.31213929159543,2.468753550702454,0.32511603761406443,-4.371340993893273,-7.339744329450769,1.0235108131971309,-0.08365314960008886,0.33240740740740743
6,Bi-monthly,42,0.15,11.11111111111111,regime,8.727629756683312,2.4495281881853743,0.2962976760621338,-3.676913366076148,-6.293886060422118,1.2153075904252857,0.34976436653783166,0.33240740740740743
12,Monthly,21,0.04,41.666666666666664,constant,8.22840181404934,2.0721483495322404,0.1814396758619395,-4.018198122062237,-6.783351641194048,0.5096470751258477,-0.5354015898426129,0.34652777777777777
12,Monthly,21,0.04,41.666666666666664,regime,8.632647682807487,1.960972741760645,0.1389173403905443,-3.429712237233305,-5.385378736938084,0.3989255513740867,-0.07582580264893289,0.34652777777777777
12,Monthly,21,0.08,20.833333333333332,constant,8.193214820824268,2.0839892821046226,0.17725615508255962,-3.9912284327900704,-6.587704246597031,0.9942723197910325,-0.5168338428968343,0.3543981481481482
12,Monthly,21,0.08,20.833333333333332,regime,8.66694825735845,2.0368728080369394,0.0923405254305292,-3.706411492259767,-5.563260268115751,0.5391040651433783,-0.049759720234880594,0.3543981481481482
12,Monthly,21,0.15,11.11111111111111,constant,8.268356742836849,1.7949448814152038,0.01454509124615943,-3.245819067989833,-5.540220015315629,0.3791808543980133,-0.340684674987457,0.3627314814814815
12,Monthly,21,0.15,11.11111111111111,regime,8.69056978118631,1.758148377400804,0.05553332455312516,-2.887095313851009,-4.8075403132165695,0.21182105140104174,0.10720352503424065,0.3627314814814815
