scenario_group,scenario_value,repeat_id,hedger,rho_stress,stress_share,lambda_daily,hedge_steps,strike_multiplier,avg_stress_fraction,runtime_seconds,model_initial_price,funding_initial_price,premium_adjustment,mean_pnl,std_pnl,median_pnl,q05_pnl,q01_pnl,min_pnl,max_pnl
baseline,baseline,0,constant,0.98,0.4,0.08,12,1.0,0.37916666666666665,0.38666591700166464,7.085988226629346,7.94678404553756,-0.8607958189082137,0.20839108608221438,2.20113014762063,0.7517091198192816,-3.2137023581262594,-6.291853752497544,-11.620031519078687,3.7089723980853293
baseline,baseline,0,regime,0.98,0.4,0.08,12,1.0,0.37916666666666665,0.8191788330441341,7.94678404553756,7.94678404553756,0.0,0.1621197809508756,2.1289647079284175,0.2880873766952661,-3.33558970590303,-5.619479542860908,-9.426450594616025,3.91742749027096
baseline,baseline,1,constant,0.98,0.4,0.08,12,1.0,0.403125,0.3644906669505872,7.191977135422455,7.975546131596185,-0.78356899617373,-0.17602684118976297,1.8594504942931065,-0.04001154997680396,-3.2227498682146525,-4.5757688038887325,-7.372861830634979,3.8023092791710695
baseline,baseline,1,regime,0.98,0.4,0.08,12,1.0,0.403125,0.8320076250238344,7.975546131596185,7.975546131596185,0.0,-0.16638102621830336,1.8729637532346983,-0.050137620051572185,-2.958324596298612,-4.723104225671982,-7.1203562856152445,3.6163353227350115
baseline,baseline,2,constant,0.98,0.4,0.08,12,1.0,0.35520833333333335,0.420150208985433,7.104332860986343,7.701000760990222,-0.5966679000038786,0.056947416286738384,1.8682935987582998,0.36069725551227066,-2.778047192607877,-4.921046184652342,-6.80739925240411,4.105107576412237
baseline,baseline,2,regime,0.98,0.4,0.08,12,1.0,0.35520833333333335,1.0006178749608807,7.701000760990222,7.701000760990222,0.0,-0.039083068609790786,1.8527807821649855,-0.08957064485357336,-3.1286607125048014,-4.446937140711478,-4.514968918059637,4.078016413605837
baseline,baseline,3,constant,0.98,0.4,0.08,12,1.0,0.36041666666666666,0.5315834590001032,7.042840819087916,7.716528670846172,-0.6736878517582561,-0.16472098527431606,1.8814685414545436,0.04768471276498369,-2.520067459530741,-5.415662064542262,-6.88044864801439,4.272312615937935
baseline,baseline,3,regime,0.98,0.4,0.08,12,1.0,0.36041666666666666,0.8445832500001416,7.716528670846172,7.716528670846172,0.0,-0.06378498018672973,1.976464047481304,0.00692404137099345,-3.1100410356557533,-5.028945923723759,-6.360783383938946,4.614410365788601
stress_corr,0.75,0,constant,0.75,0.4,0.08,12,1.0,0.33229166666666665,0.4059442500001751,7.076703685255357,7.457209213254439,-0.3805055279990821,0.045918511565834284,1.7411787321031207,0.25247501326247923,-3.3901055843860552,-4.982946526640955,-5.798093040396026,3.45375922869313
stress_corr,0.75,0,regime,0.75,0.4,0.08,12,1.0,0.33229166666666665,0.8053080830140971,7.457209213254439,7.457209213254439,0.0,0.049441357639931516,1.7258683267425061,0.3551895841868671,-3.0833065664373844,-3.845577709361503,-5.684619595016159,3.548012395008314
stress_corr,0.75,1,constant,0.75,0.4,0.08,12,1.0,0.3729166666666667,0.46651554200798273,7.254621083012832,7.438731973181124,-0.18411089016829152,-0.2804097312318924,2.1900333745472054,0.21772585271563116,-4.53493668510333,-6.375753583685975,-8.496340025977155,3.332896135393309
stress_corr,0.75,1,regime,0.75,0.4,0.08,12,1.0,0.3729166666666667,0.8854735000059009,7.438731973181124,7.438731973181124,0.0,-0.19108857928413428,2.0820464885720082,0.09177264411471953,-3.978246647874647,-6.037378059129276,-7.86117969609392,3.530261409981133
stress_corr,0.75,2,constant,0.75,0.4,0.08,12,1.0,0.3614583333333333,0.40091812500031665,7.220167937680704,7.4592868954094325,-0.2391189577287287,-0.05790362169748302,1.8987009969938298,0.1807045510174133,-3.9256437629699046,-4.735582402138781,-4.737451100482389,3.8955993068305546
stress_corr,0.75,2,regime,0.75,0.4,0.08,12,1.0,0.3614583333333333,0.8291631659958512,7.4592868954094325,7.4592868954094325,0.0,-0.05316163794522329,1.8583189133991198,0.05916878680057111,-3.5013411269431156,-4.2655334417556325,-4.367034459523083,4.217768213105863
stress_corr,0.75,3,constant,0.75,0.4,0.08,12,1.0,0.3770833333333333,0.4139942919719033,7.13070407502614,7.5405304773370325,-0.40982640231089285,0.27496404321693235,1.7777592797809962,0.32558466860508295,-2.6804684499167437,-3.2258843470536886,-4.0220874192973595,4.206592141240009
stress_corr,0.75,3,regime,0.75,0.4,0.08,12,1.0,0.3770833333333333,0.8349373749806546,7.5405304773370325,7.5405304773370325,0.0,0.2846255118249334,1.7529749675818913,0.32035510116528876,-2.4569681237940775,-3.4616386996378083,-3.5770213050136603,4.24945586337833
stress_corr,0.9,0,constant,0.9,0.4,0.08,12,1.0,0.359375,0.4171541249961592,7.257792496992587,7.7798538905855645,-0.5220613935929777,-0.48624889867159443,2.4314218046223197,0.09463954896173377,-5.226155555052795,-7.565750360397127,-9.015145900218215,3.6161668139751484
stress_corr,0.9,0,regime,0.9,0.4,0.08,12,1.0,0.359375,0.8191750000114553,7.7798538905855645,7.7798538905855645,0.0,-0.5241209551625623,2.366090834043482,0.0718187348752366,-4.863353749224412,-7.003795819935324,-7.986826246268123,3.612825885658637
stress_corr,0.9,1,constant,0.9,0.4,0.08,12,1.0,0.34791666666666665,0.3851194170420058,7.330229814565654,7.8172918387597665,-0.4870620241941124,0.37122388075790635,1.8226166779297113,0.513697992031517,-2.8048349592642468,-5.74137704251458,-6.2645880426215435,4.038465743609201
stress_corr,0.9,1,regime,0.9,0.4,0.08,12,1.0,0.34791666666666665,1.017926374974195,7.8172918387597665,7.8172918387597665,0.0,0.3468981498312587,1.7039297875754555,0.522294939354758,-2.937906186075226,-4.437885586912917,-4.558536053836871,4.177648328848299
stress_corr,0.9,2,constant,0.9,0.4,0.08,12,1.0,0.38645833333333335,0.42938991700066254,7.374928153830923,7.569811788742527,-0.1948836349116041,-0.38684408535180437,1.8996890639642747,-0.23282902924034232,-3.50820474916617,-5.055765209355309,-6.443109626692234,4.794833031049073
stress_corr,0.9,2,regime,0.9,0.4,0.08,12,1.0,0.38645833333333335,0.8333800000254996,7.569811788742527,7.569811788742527,0.0,-0.4096376301522806,1.8141846389262286,-0.42030989407816455,-3.121246819659171,-4.6337326184572785,-5.209564272539225,4.9032259130666205
stress_corr,0.9,3,constant,0.9,0.4,0.08,12,1.0,0.38125,0.41846541699487716,7.335969352660841,7.568745840473359,-0.2327764878125178,0.06607039814621689,1.5693385035607361,0.1872513523763173,-2.2081839153885867,-4.40879915867941,-5.833822059771975,2.9713730314211446
stress_corr,0.9,3,regime,0.9,0.4,0.08,12,1.0,0.38125,0.8641058340435848,7.568745840473359,7.568745840473359,0.0,0.07564226088754308,1.6502509429533492,0.07860428525312102,-2.7855602351135618,-3.8485647931659583,-5.141886246410195,3.536499904754301
stress_corr,0.98,0,constant,0.98,0.4,0.08,12,1.0,0.37916666666666665,0.3966910419985652,7.283055965047626,7.935417611025192,-0.6523616459775665,-0.19389497776892686,2.095642488126202,0.10669477827806872,-3.0027495430621807,-7.384042940083219,-7.938664654444025,5.214651348174463
stress_corr,0.98,0,regime,0.98,0.4,0.08,12,1.0,0.37916666666666665,0.8279492919682525,7.935417611025192,7.935417611025192,0.0,-0.18045970758516597,2.045790660957128,0.061830352832082075,-3.280469002541822,-6.334892130781053,-6.997441361533589,5.192548837623775
