hedge_steps,hedge_label,days_per_hedge_step,lambda_daily,expected_stress_duration_days,avg_model_initial_price_constant,avg_model_initial_price_regime,avg_std_pnl_constant,avg_std_pnl_regime,avg_q05_pnl_constant,avg_q05_pnl_regime,avg_q01_pnl_constant,avg_q01_pnl_regime,avg_mean_pnl_constant,avg_mean_pnl_regime,regime_price_minus_constant,std_gap_constant_minus_regime,q05_gap_regime_minus_constant,q01_gap_regime_minus_constant,mean_gap_regime_minus_constant
2,Semiannual,126,0.04,41.666666666666664,8.155053044806708,8.231923405629962,4.159824201330434,4.148700665709872,-7.0316237976071685,-7.281523857261946,-11.486183393478898,-11.639195377871715,-0.0630528034242414,-0.0851464281626642,0.07687036082325349,0.011123535620561675,-0.24990005965477735,-0.15301198439281727,-0.0220936247384228
2,Semiannual,126,0.08,20.833333333333332,8.2477402603665,8.190521550082606,3.8806556899359843,3.9074879830972633,-6.265325096863164,-6.472714971972515,-11.73690460059016,-11.46512887345287,0.16985440163134266,0.1295907574613732,-0.05721871028389458,-0.026832293161278997,-0.20738987510935036,0.2717757271372907,-0.04026364416996947
2,Semiannual,126,0.15,11.11111111111111,8.239175899636058,8.21156429939628,3.7497742960310902,3.7531901875834124,-5.6612231017984245,-5.7582414582965145,-8.827708752699452,-9.278422338778862,0.4487323789216336,0.46018832791589537,-0.027611600239778156,-0.0034158915523221367,-0.09701835649808999,-0.45071358607940937,0.011455948994261778
4,Quarterly,63,0.04,41.666666666666664,8.16431840228001,8.505720916233814,3.0227191734047985,3.037516127776671,-5.2167505017698,-5.301768812872858,-7.4220983862292735,-7.096968363560649,-0.029545843807606487,-0.05143029402509374,0.3414025139538044,-0.014796954371872673,-0.0850183111030578,0.3251300226686249,-0.021884450217487254
4,Quarterly,63,0.08,20.833333333333332,8.15057392098355,8.454241383334727,3.2099532392604204,3.185512075268999,-4.9787073988115536,-5.153142997688395,-10.619013668286238,-9.783536139590119,0.05787072119067622,0.048741763165625375,0.3036674623511768,0.024441163991421266,-0.17443559887684135,0.8354775286961189,-0.009128958025050843
4,Quarterly,63,0.15,11.11111111111111,8.284326138992006,8.466636109482389,3.2613304570448935,3.276174414378834,-5.534789048327572,-5.3272829541915625,-7.996226548768118,-7.768725281446031,-0.021451916276516325,-0.01660800678989181,0.18230997049038322,-0.014843957333940505,0.20750609413600962,0.2275012673220873,0.004843909486624515
6,Bi-monthly,42,0.04,41.666666666666664,8.21211340777016,8.725279922854343,2.839478659423957,2.784131068084885,-4.6317604268515264,-4.37675294975594,-8.327598471679634,-7.02100172102335,-0.003081887125014162,-0.024349351009750247,0.5131665150841833,0.055347591339071744,0.25500747709558613,1.3065967506562837,-0.021267463884736087
6,Bi-monthly,42,0.08,20.833333333333332,8.300100852365258,8.661265245477841,2.5547136053962523,2.5668720324741137,-4.059579791975145,-4.278899271669919,-6.9391759792071275,-6.434086071430051,0.1376109524640322,0.08749539765995717,0.36116439311258297,-0.012158427077861411,-0.21931947969477328,0.5050899077770765,-0.050115554804075035
6,Bi-monthly,42,0.15,11.11111111111111,8.20400143432291,8.649395630198233,2.385772181972349,2.3804645219864167,-3.5458073250118396,-3.292134911831178,-6.765365739706372,-6.789202605334644,0.1914602446786243,0.1698122558256884,0.44539419587532336,0.0053076599859323,0.2536724131806616,-0.023836865628272363,-0.021647988852935895
12,Monthly,21,0.04,41.666666666666664,8.280354427083624,8.729696446245713,1.9365124019102629,1.926160218417951,-3.4641138018838933,-3.391375045866068,-4.732057509974883,-4.548067021917336,0.02673124767711103,0.017826407278665145,0.4493420191620885,0.010352183492311928,0.07273875601782542,0.18399048805754692,-0.008904840398445885
12,Monthly,21,0.08,20.833333333333332,8.274820688643423,8.550703297591864,1.8565742172225403,1.8749419441965127,-3.475499696351324,-3.235200611639796,-4.864919132206806,-4.529000604641277,0.11235648611921449,0.10939217664391698,0.2758826089484412,-0.018367726973972376,0.24029908471152783,0.33591852756552854,-0.002964309475297508
12,Monthly,21,0.15,11.11111111111111,8.232590836227407,8.668425681940302,2.054168348206303,2.066664035710627,-3.7405808166567134,-3.608402194884912,-6.135253478848739,-6.022881531937192,0.04747868644902315,0.030573518128804943,0.4358348457128951,-0.01249568750432406,0.13217862177180129,0.11237194691154695,-0.016905168320218208
