scenario,repeat,path_id,step,true_regime,prior_stress_probability,posterior_stress_probability
Baseline,0,186,0,0,0.0,2.1155674480750397e-14
Baseline,0,186,1,1,0.19341087971563328,0.3771429474898973
Baseline,0,186,2,1,0.2058360809426916,0.24941055056151093
Baseline,0,186,3,1,0.20162786030483312,0.34897380330389655
Baseline,0,186,4,1,0.20490803154594536,0.3766757404107677
Baseline,0,186,5,0,0.20582068852448115,0.03313818235529428
Baseline,0,186,6,1,0.19450263706335427,0.5904859881141262
Baseline,0,186,7,1,0.21286479572522027,0.381791464167451
Baseline,0,186,8,1,0.20598922912035306,0.3859611989338002
Baseline,0,186,9,0,0.20612660353999998,0.12416209325167925
Baseline,0,186,10,0,0.19750147455160336,0.00043595377138105174
Baseline,0,186,11,0,0.19342524247482284,0.22414234816614165
Baseline,0,55,0,0,0.0,3.3460330145804378e-12
Baseline,0,55,1,0,0.1934108797157428,0.002773098991440968
Baseline,0,55,2,1,0.19350224112970785,0.13310931914624247
Baseline,0,55,3,1,0.19779624628975678,0.3033189826651317
Baseline,0,55,4,1,0.20340390602219513,0.24806293011662378
Baseline,0,55,5,0,0.20158346213878792,0.06641473431415072
Baseline,0,55,6,0,0.1955989530808838,0.3179338586317412
Baseline,0,55,7,1,0.20388540190062066,0.17284743944508524
Baseline,0,55,8,1,0.1991054425623755,0.344392936045583
Baseline,0,55,9,0,0.20475711211908662,0.33332078356543043
Baseline,0,55,10,1,0.2043923333965937,0.4413760399742315
Baseline,0,55,11,1,0.2079522788057725,0.3089157475657006
Baseline,0,25,0,0,0.0,7.53901654534794e-15
Baseline,0,25,1,0,0.19341087971563278,0.20529671886588077
Baseline,0,25,2,1,0.20017450358859887,0.30464011213304537
Baseline,0,25,3,1,0.20344743142707167,0.34669068929843727
Baseline,0,25,4,1,0.2048328129819209,0.2325959287240695
Baseline,0,25,5,0,0.2010738924757178,0.3247118554761907
Baseline,0,25,6,0,0.20410870708309634,0.20841715913630923
Baseline,0,25,7,0,0.20027730837000904,0.19073597764525593
Baseline,0,25,8,0,0.19969479121193762,0.3617235786641238
Baseline,0,25,9,1,0.2053280805631814,0.23621698582035217
Baseline,0,25,10,1,0.20119319037953765,0.23679676590186957
Baseline,0,25,11,0,0.20121229158301568,0.3582128562647245
Latent stress,0,91,0,0,0.0,6.673520932593092e-27
Latent stress,0,91,1,1,0.4658723707991962,0.9465150969154446
Latent stress,0,91,2,1,0.5304770033201813,0.9541300665656295
Latent stress,0,91,3,1,0.5309967650413752,0.5919085932685425
Latent stress,0,91,4,1,0.506273244782872,0.9823601658226868
Latent stress,0,91,5,1,0.5329236177608686,0.9957304019567556
Latent stress,0,91,6,1,0.53383620668309,0.9612039308772107
Latent stress,0,91,7,0,0.5314795934778601,0.013041872610171095
Latent stress,0,91,8,1,0.4667625471842443,0.9865459587769011
Latent stress,0,91,9,1,0.5332093201405741,0.989938703788767
Latent stress,0,91,10,1,0.5334408928280497,0.9166736647994438
Latent stress,0,91,11,1,0.5284401686600297,0.9722692544250215
Latent stress,0,35,0,0,0.0,1.0931639604911721e-38
Latent stress,0,35,1,1,0.4658723707991962,0.8871939578878995
Latent stress,0,35,2,1,0.5264280236471787,0.9646647272857951
Latent stress,0,35,3,1,0.5317158110310033,0.9310850520761909
Latent stress,0,35,4,1,0.5294238216225298,0.9652847442182032
Latent stress,0,35,5,1,0.5317581304469382,0.9416687638733569
Latent stress,0,35,6,1,0.5301462156060934,0.9986517856351969
Latent stress,0,35,7,1,0.5340356064809523,0.8894100739698817
Latent stress,0,35,8,1,0.5265792852230023,0.9841897104327709
Latent stress,0,35,9,1,0.5330484938009872,0.984910041195599
Latent stress,0,35,10,1,0.5330976601633386,0.9665988831363824
Latent stress,0,35,11,0,0.5318478273383741,0.001889626833062599
Latent stress,0,121,0,0,0.0,5.085785601318328e-25
Latent stress,0,121,1,1,0.4658723707991962,0.9661539217568551
Latent stress,0,121,2,1,0.5318174563844357,0.9695386750639634
Latent stress,0,121,3,1,0.5320484835960381,0.9242621818699343
Latent stress,0,121,4,1,0.5289581248535611,0.9847108117828485
Latent stress,0,121,5,0,0.5330840617082901,6.580001083285653e-08
Latent stress,0,121,6,1,0.4658723752903929,0.9579306388710264
Latent stress,0,121,7,0,0.531256174086154,1.4134227554661597e-32
Latent stress,0,121,8,1,0.4658723707991962,0.8767746435777741
Latent stress,0,121,9,1,0.5257168506565736,0.9744887930788007
Latent stress,0,121,10,1,0.5323863551802593,0.8259194862021438
Latent stress,0,121,11,1,0.5222457187488455,0.932847349966164
