hedge_steps,hedge_label,days_per_hedge_step,lambda_daily,expected_stress_duration_days,avg_model_initial_price_constant,avg_model_initial_price_regime,avg_std_pnl_constant,avg_std_pnl_regime,avg_q05_pnl_constant,avg_q05_pnl_regime,avg_q01_pnl_constant,avg_q01_pnl_regime,avg_mean_pnl_constant,avg_mean_pnl_regime,regime_price_minus_constant,std_gap_constant_minus_regime,q05_gap_regime_minus_constant,q01_gap_regime_minus_constant,mean_gap_regime_minus_constant
2,Semiannual,126,0.04,41.666666666666664,8.155053044806708,8.231923405629962,4.159824201330433,4.148700665709872,-7.104225292630708,-7.35412535228548,-11.558784888502437,-11.711796872895249,-0.1356542984477796,-0.1577479231861981,0.07687036082325349,0.011123535620560787,-0.24990005965477202,-0.15301198439281194,-0.0220936247384185
2,Semiannual,126,0.08,20.833333333333332,8.2477402603665,8.190521550082606,3.8806556899359843,3.9074879830972633,-6.24797386005957,-6.455363735168923,-11.719553363786568,-11.447777636649276,0.18720563843493263,0.14694199426496343,-0.05721871028389458,-0.026832293161278997,-0.20738987510935303,0.2717757271372925,-0.04026364416996919
2,Semiannual,126,0.15,11.11111111111111,8.239175899636058,8.21156429939628,3.74977429603109,3.7531901875834133,-5.7203849189450615,-5.817403275443159,-8.886870569846094,-9.337584155925507,0.3895705617749908,0.40102651076925255,-0.027611600239778156,-0.003415891552323469,-0.09701835649809709,-0.4507135860794129,0.011455948994261778
4,Quarterly,63,0.04,41.666666666666664,8.16431840228001,8.505720916233814,3.0227191734047985,3.037516127776671,-5.335992828428005,-5.421011139531046,-7.541340712887478,-7.216210690218843,-0.14878817046580503,-0.1706726206832894,0.3414025139538044,-0.014796954371872673,-0.08501831110304092,0.32513002266863467,-0.021884450217484364
4,Quarterly,63,0.08,20.833333333333332,8.15057392098355,8.454241383334727,3.2099532392604204,3.185512075268999,-5.088885672790851,-5.263321271667692,-10.729191942265537,-9.893714413569407,-0.05230755278862304,-0.06143651081366971,0.3036674623511768,0.024441163991421266,-0.17443559887684135,0.8354775286961296,-0.009128958025046666
4,Quarterly,63,0.15,11.11111111111111,8.284326138992006,8.466636109482389,3.261330457044894,3.276174414378833,-5.621494664060701,-5.413988569924675,-8.082932164501237,-7.855430897179143,-0.10815753200963289,-0.10331362252300584,0.18230997049038322,-0.014843957333939173,0.2075060941360256,0.2275012673220944,0.0048439094866270516
6,Bi-monthly,42,0.04,41.666666666666664,8.21211340777016,8.725279922854343,2.839478659423957,2.784131068084885,-4.524905447832,-4.26989797073641,-8.220743492660096,-6.914146742003829,0.10377309189451461,0.08250562800978191,0.5131665150841833,0.055347591339071744,0.2550074770955906,1.3065967506562677,-0.021267463884732704
6,Bi-monthly,42,0.08,20.833333333333332,8.300100852365258,8.661265245477841,2.554713605396252,2.5668720324741137,-4.153698202812811,-4.373017682507575,-7.033294390044785,-6.528204482267711,0.043492541626374226,-0.006623013177701573,0.36116439311258297,-0.012158427077861855,-0.2193194796947635,0.5050899077770739,-0.0501155548040758
6,Bi-monthly,42,0.15,11.11111111111111,8.20400143432291,8.649395630198233,2.385772181972349,2.3804645219864162,-3.5686355298375396,-3.3149631166568674,-6.788193944532067,-6.812030810160347,0.16863203985292186,0.14698405099998746,0.44539419587532336,0.0053076599859327445,0.25367241318067224,-0.02383686562827947,-0.021647988852934397
12,Monthly,21,0.04,41.666666666666664,8.280354427083624,8.729696446245713,1.9365124019102629,1.9261602184179505,-3.380999542670694,-3.30826078665287,-4.6489432507616995,-4.464952762704146,0.10984550689029966,0.10094066649185045,0.4493420191620885,0.010352183492312372,0.07273875601782365,0.18399048805755314,-0.008904840398449215
12,Monthly,21,0.08,20.833333333333332,8.274820688643423,8.550703297591864,1.85657421722254,1.8749419441965127,-3.7188711983305676,-3.478572113619036,-5.108290634186055,-4.772372106620522,-0.1310150158600328,-0.13397932533533255,0.2758826089484412,-0.01836772697397282,0.24029908471153139,0.335918527565533,-0.0029643094752997423
12,Monthly,21,0.15,11.11111111111111,8.232590836227407,8.668425681940302,2.0541683482063045,2.066664035710628,-3.8139050722592986,-3.6817264504875165,-6.2085777344513415,-6.09620578753979,-0.025845569153570197,-0.042750737473784155,0.4358348457128951,-0.012495687504323616,0.1321786217717822,0.11237194691155139,-0.016905168320213958
