Date,NVDA,AVGO,MU,AMAT,LRCX
2018-01-02,4.92975,21.6795,43.3276,49.7589,17.0983
2018-01-03,5.25437,21.9183,44.6262,50.6395,17.3903
2018-01-04,5.28232,21.924,46.5116,50.9302,17.4688
2018-01-05,5.32734,22.0531,45.4399,51.2221,17.7434
2018-01-08,5.48971,22.1079,45.1919,52.4599,17.8763
2018-01-09,5.48811,21.8004,42.6324,51.4663,17.8483
2018-01-10,5.53164,21.3388,42.97,50.0021,17.3155
2018-01-11,5.54163,21.3974,42.4631,49.909,17.0855
2018-01-12,5.51408,21.4577,42.4731,50.1422,17.0293
2018-01-16,5.44287,21.3758,42.5826,51.1268,17.1971
2018-01-17,5.5573,21.5832,43.9121,53.7919,18.5246
2018-01-18,5.55063,21.9078,43.6443,53.8496,18.5595
2018-01-19,5.6903,21.6305,42.4143,53.8496,18.7468
2018-01-22,5.77888,21.2823,42.5427,53.904,18.8962
2018-01-23,5.90787,21.3456,43.6044,54.2158,19.43
2018-01-24,5.83112,20.8569,42.7409,53.3612,18.9459
2018-01-25,5.84478,20.0794,42.6713,52.31,17.9997
2018-01-26,6.01784,20.3624,43.3276,53.5854,18.2974
2018-01-29,6.10519,19.9294,42.9501,51.9059,17.7018
2018-01-30,6.00265,19.5651,41.3427,50.0766,17.2612
2018-01-31,6.07892,20.1398,43.3754,50.3119,17.3021
2018-02-01,5.94742,19.3886,42.1564,49.9834,17.0846
2018-02-02,5.77458,19.1198,40.4991,47.5455,16.1744
2018-02-05,5.28502,18.5187,39.0898,45.334,15.3903
2018-02-06,5.57817,19.5178,43.5347,47.1406,16.1085
2018-02-07,5.65835,19.2754,41.6793,45.6784,15.5049
2018-02-08,5.37938,18.6395,39.6854,42.92,14.6569
2018-02-09,5.73924,19.1217,40.0927,45.1058,14.983
2018-02-12,5.6396,19.8444,41.8386,46.4378,15.6243
2018-02-13,5.75291,19.9631,42.2948,46.4854,15.5884
2018-02-14,5.9704,20.1094,43.1084,48.7455,16.5324
2018-02-15,6.0965,20.4465,43.1582,50.6494,16.7751
2018-02-16,6.0306,20.2096,43.8624,51.6251,16.9751
2018-02-20,6.1594,20.268,44.5466,53.2509,17.4738
2018-02-21,5.97268,20.1841,44.1901,52.7518,17.0943
2018-02-22,5.99207,20.256,43.9023,52.6961,17.0158
2018-02-23,6.08591,20.5993,46.165,53.5804,17.4427
2018-02-26,6.10219,20.5388,47.6032,55.2719,17.924
2018-02-27,6.08921,20.4446,48.1977,54.1731,17.4757
2018-02-28,5.98837,20.0114,48.4268,54.1274,17.333
2018-03-01,5.74592,19.7549,47.2456,53.6381,17.1691
